日期,开盘,收盘,最高,最低,成交量,涨跌幅,换手率
2022-08-15,20.23,24.28,24.28,20.23,11197,44.01,1.81
2022-08-16,26.71,26.71,26.71,26.71,1921,10.01,0.31
2022-08-17,29.38,29.38,29.38,29.38,5997,10.0,0.97
2022-08-18,32.27,30.04,32.27,29.4,359730,2.25,58.26
2022-08-19,27.05,27.04,28.2,27.04,173828,-9.99,28.15
2022-08-22,25.6,24.71,25.88,24.4,176847,-8.62,28.64
2022-08-23,24.71,24.89,25.37,24.33,101652,0.73,16.46
2022-08-24,24.85,23.23,24.86,23.18,117853,-6.67,19.09
2022-08-25,23.23,22.5,23.38,22.34,85949,-3.14,13.92
2022-08-26,22.4,22.36,22.84,22.3,56317,-0.62,9.12
2022-08-29,21.9,22.57,22.66,21.62,55854,0.94,9.05
2022-08-30,22.4,22.56,22.97,22.32,51640,-0.04,8.36
2022-08-31,22.56,21.63,22.64,21.52,54179,-4.12,8.77
2022-09-01,21.6,21.54,21.97,21.51,35033,-0.42,5.67
2022-09-02,21.41,23.69,23.69,21.41,99088,9.98,16.05
2022-09-05,24.0,26.06,26.06,23.17,258295,10.0,41.83
2022-09-06,26.21,28.67,28.67,25.26,319648,10.02,51.76
2022-09-07,28.0,25.8,28.97,25.8,235897,-10.01,38.2
2022-09-08,24.3,26.77,28.38,23.69,321708,3.76,52.1
2022-09-09,25.83,25.55,26.2,24.7,172516,-4.56,27.94
2022-09-13,25.55,25.62,27.7,25.2,245662,0.27,39.78
2022-09-14,25.16,28.18,28.18,25.14,361046,9.99,58.47
2022-09-15,27.95,26.6,28.38,25.93,321157,-5.61,52.01
2022-09-16,26.6,25.52,27.88,25.35,229127,-4.06,37.11
2022-09-19,24.4,22.97,24.6,22.97,143063,-9.99,23.17
2022-09-20,22.36,22.98,23.28,22.34,117517,0.04,19.03
2022-09-21,22.8,23.08,23.74,21.8,107627,0.44,17.43
2022-09-22,23.0,23.61,23.68,22.75,115848,2.3,18.76
2022-09-23,23.77,22.68,23.86,22.6,115152,-3.94,18.65
2022-09-26,22.31,22.18,22.82,22.04,72241,-2.2,11.7
2022-09-27,22.3,22.73,22.82,22.16,68653,2.48,11.12
2022-09-28,22.48,21.2,22.5,21.19,86422,-6.73,14.0
2022-09-29,21.49,20.78,21.78,20.7,62545,-1.98,10.13
2022-09-30,20.79,20.14,21.08,20.02,52642,-3.08,8.52
2022-10-10,20.18,19.37,20.4,19.3,49631,-3.82,8.04
2022-10-11,19.5,19.85,19.98,18.91,56600,2.48,9.17
2022-10-12,19.55,20.68,20.75,19.49,76436,4.18,12.38
2022-10-13,20.44,21.14,21.69,20.42,89686,2.22,14.52
2022-10-14,21.38,21.68,21.81,21.14,87744,2.55,14.21
2022-10-17,22.55,23.85,23.85,22.55,106823,10.01,17.3
2022-10-18,25.08,23.05,25.18,22.71,190798,-3.35,30.9
2022-10-19,23.0,25.18,25.36,22.92,275475,9.24,44.61
2022-10-20,24.52,23.94,24.73,23.58,188088,-4.92,30.46
2022-10-21,24.0,25.07,26.15,23.82,185967,4.72,30.12
2022-10-24,25.1,24.01,25.7,23.73,148262,-4.23,24.01
2022-10-25,23.95,23.27,24.18,23.0,108001,-3.08,17.49
2022-10-26,23.31,24.71,25.6,22.81,190633,6.19,30.87
2022-10-27,24.53,24.05,24.81,24.01,112245,-2.67,18.18
2022-10-28,23.56,23.93,25.4,23.35,126182,-0.5,20.43
2022-10-31,23.9,24.2,24.96,23.9,116181,1.13,18.81
2022-11-01,24.21,24.53,24.57,23.0,103448,1.36,16.75
2022-11-02,24.31,24.18,24.6,23.81,99239,-1.43,16.07
2022-11-03,23.99,23.81,24.13,23.16,78720,-1.53,12.75
2022-11-04,23.55,24.12,24.4,23.43,79266,1.3,12.84
2022-11-07,24.12,24.68,25.02,23.95,110662,2.32,17.92
2022-11-08,24.63,27.15,27.15,24.06,199259,10.01,32.27
2022-11-09,27.89,25.93,27.89,25.52,229872,-4.49,37.23
2022-11-10,25.83,25.2,26.15,25.0,140457,-2.82,22.75
2022-11-11,25.6,24.88,25.72,24.7,115211,-1.27,18.66
2022-11-14,24.5,23.97,24.59,23.7,80399,-3.66,13.02
2022-11-15,23.81,24.21,24.59,23.81,84805,1.0,13.73
2022-11-16,24.1,24.35,24.59,23.89,63772,0.58,10.33
2022-11-17,24.16,25.1,25.47,24.01,102573,3.08,16.61
2022-11-18,24.88,24.24,25.49,24.21,85753,-3.43,13.89
2022-11-21,24.29,25.42,25.85,24.03,122098,4.87,19.77
2022-11-22,25.15,24.6,25.78,24.33,95089,-3.23,15.4
2022-11-23,24.43,23.0,24.49,22.5,83049,-6.5,13.45
2022-11-24,22.96,22.95,23.1,22.63,41658,-0.22,6.75
2022-11-25,22.9,22.2,23.16,22.2,47989,-3.27,7.77
2022-11-28,21.92,22.32,22.42,21.81,28045,0.54,4.54
2022-11-29,22.39,22.39,22.56,22.2,36576,0.31,5.92
2022-11-30,22.3,22.33,22.49,22.01,27944,-0.27,4.53
2022-12-01,22.55,23.07,23.18,22.42,63143,3.31,10.23
2022-12-02,22.98,22.94,23.19,22.71,48475,-0.56,7.85
2022-12-05,23.07,23.38,23.59,22.79,56835,1.92,9.2
2022-12-06,23.1,23.12,23.96,23.0,63232,-1.11,10.24
2022-12-07,22.79,22.21,22.79,22.16,60554,-3.94,9.81
2022-12-08,22.28,22.06,22.4,22.06,30875,-0.68,5.0
2022-12-09,22.06,22.11,22.25,21.82,24851,0.23,4.02
2022-12-12,22.01,22.22,22.31,21.85,23870,0.5,3.87
2022-12-13,22.2,21.27,22.28,21.13,49269,-4.28,7.98
2022-12-14,21.27,20.99,21.59,20.88,36011,-1.32,5.83
2022-12-15,20.99,21.21,21.38,20.73,29676,1.05,4.81
2022-12-16,20.95,20.71,21.05,20.61,25717,-2.36,4.16
2022-12-19,20.71,20.6,21.23,20.46,22421,-0.53,3.63
2022-12-20,20.7,20.93,21.05,20.61,23925,1.6,3.87
2022-12-21,20.81,20.13,20.92,20.03,27486,-3.82,4.45
2022-12-22,20.17,19.72,20.36,19.69,25972,-2.04,4.21
2022-12-23,19.78,20.37,20.6,19.7,37597,3.3,6.09
2022-12-26,20.37,20.41,20.5,20.17,23301,0.2,3.77
2022-12-27,20.42,20.35,20.66,20.07,26716,-0.29,4.33
2022-12-28,20.3,20.0,20.3,19.9,21000,-1.72,3.4
2022-12-29,19.88,20.06,20.49,19.88,28317,0.3,4.59
2022-12-30,20.07,20.34,20.5,19.98,24986,1.4,4.05
2023-01-03,20.4,22.37,22.37,20.4,87041,9.98,14.1
2023-01-04,22.46,22.02,22.75,21.75,104544,-1.56,16.93
2023-01-05,22.19,21.92,22.19,21.67,47362,-0.45,7.67
2023-01-06,21.73,22.17,22.19,21.73,62856,1.14,10.18
2023-01-09,22.15,21.82,22.2,21.76,43477,-1.58,7.04
2023-01-10,21.78,21.83,22.1,21.54,30627,0.05,4.96
2023-01-11,21.85,21.49,22.05,21.3,38989,-1.56,6.31
2023-01-12,21.33,21.48,21.7,21.27,22347,-0.05,3.62
2023-01-13,21.54,21.39,21.62,21.31,17658,-0.42,2.86
2023-01-16,22.19,23.53,23.53,22.15,90264,10.0,14.62
2023-01-17,24.01,22.9,24.79,22.82,192210,-2.68,31.13
2023-01-18,22.83,22.91,23.49,22.72,105675,0.04,17.11
2023-01-19,22.83,25.2,25.2,22.83,145391,10.0,23.55
2023-01-20,24.9,27.72,27.72,24.25,250749,10.0,40.61
2023-01-30,29.07,27.08,30.49,26.49,373346,-2.31,60.46
2023-01-31,26.8,26.29,26.8,25.62,226053,-2.92,36.61
2023-02-01,26.1,27.63,27.87,25.84,234953,5.1,38.05
2023-02-02,26.83,27.71,28.8,26.66,244485,0.29,39.59
2023-02-03,27.45,27.35,28.07,27.05,159278,-1.3,25.79
2023-02-06,27.0,28.63,30.09,26.72,305396,4.68,49.46
2023-02-07,27.7,26.48,27.7,26.0,227710,-7.51,36.88
2023-02-08,26.62,25.53,26.82,25.35,147421,-3.59,23.87
2023-02-09,25.24,27.05,27.4,25.2,177927,5.95,28.81
2023-02-10,26.53,26.45,27.27,26.18,104322,-2.22,16.89
2023-02-13,26.49,26.65,26.98,26.2,75372,0.76,12.21
2023-02-14,26.65,26.22,26.7,26.0,60117,-1.61,9.74
2023-02-15,26.26,28.84,28.84,25.75,142687,9.99,23.11
2023-02-16,31.18,31.72,31.72,31.01,128534,9.99,20.82
2023-02-17,32.65,34.89,34.89,32.28,456789,9.99,73.97
2023-02-20,34.62,31.4,34.89,31.4,363890,-10.0,58.93
2023-02-21,30.01,30.16,31.88,29.29,301437,-3.95,48.82
2023-02-22,29.62,29.1,29.83,28.8,186922,-3.51,30.27
2023-02-23,28.88,28.56,29.08,28.39,125485,-1.86,20.32
2023-02-24,28.58,29.3,29.62,28.43,167703,2.59,27.16
2023-02-27,28.91,28.55,29.58,28.44,112243,-2.56,18.18
2023-02-28,29.1,29.43,29.78,28.9,146472,3.08,23.72
2023-03-01,29.0,30.21,31.45,28.89,190032,2.65,30.77
2023-03-02,29.94,29.74,30.15,29.32,130789,-1.56,21.18
2023-03-03,29.35,28.57,29.42,28.03,140138,-3.93,22.69
2023-03-06,28.28,28.43,28.66,28.11,61746,-0.49,10.0
2023-03-07,28.4,27.28,28.45,27.26,97900,-4.05,15.85
2023-03-08,27.5,27.78,27.78,27.46,52219,1.83,8.46
2023-03-09,27.8,27.4,27.92,27.27,49551,-1.37,8.02
2023-03-10,27.1,27.2,27.65,27.09,47112,-0.73,7.63
2023-03-13,27.18,27.83,27.83,26.8,63134,2.32,10.22
2023-03-14,27.83,26.8,27.83,26.29,83337,-3.7,13.5
2023-03-15,26.88,26.68,27.16,26.61,44559,-0.45,7.22
2023-03-16,26.4,26.17,26.81,26.16,43465,-1.91,7.04
2023-03-17,26.69,27.09,27.28,26.52,71441,3.52,11.57
2023-03-20,27.11,26.84,27.49,26.8,66936,-0.92,10.84
2023-03-21,26.66,27.53,27.53,26.38,67594,2.57,10.95
2023-03-22,27.54,28.37,28.38,27.45,113488,3.05,18.38
2023-03-23,28.36,30.6,31.21,28.16,312987,7.86,50.69
2023-03-24,29.5,29.8,30.1,29.35,192215,-2.61,31.13
2023-03-27,29.9,29.45,30.05,28.91,119030,-1.17,19.28
2023-03-28,29.83,30.16,30.2,29.35,148060,2.41,23.98
2023-03-29,30.55,29.7,31.98,29.69,174936,-1.53,28.33
