CODE,DATE
002479,2023-06-21
002482,2023-06-21
002496,2023-06-21
002502,2023-06-21
002731,2023-06-21
002883,2023-06-21
002965,2023-06-21
003816,2023-06-21
300012,2023-06-21
300049,2023-06-21
300108,2023-06-21
300158,2023-06-21
300282,2023-06-21
300316,2023-06-21
300335,2023-06-21
300338,2023-06-21
300393,2023-06-21
300483,2023-06-21
300555,2023-06-21
300568,2023-06-21
300649,2023-06-21
300665,2023-06-21
300763,2023-06-21
300982,2023-06-21
301035,2023-06-21
301141,2023-06-21
301175,2023-06-21
301257,2023-06-21
301286,2023-06-21
301305,2023-06-21
301307,2023-06-21
301325,2023-06-21
600116,2023-06-21
600211,2023-06-21
600268,2023-06-21
600278,2023-06-21
600350,2023-06-21
600366,2023-06-21
600395,2023-06-21
600545,2023-06-21
600610,2023-06-21
600681,2023-06-21
600726,2023-06-21
600785,2023-06-21
600821,2023-06-21
600822,2023-06-21
600823,2023-06-21
600868,2023-06-21
600898,2023-06-21
600905,2023-06-21
600925,2023-06-21
600956,2023-06-21
601016,2023-06-21
601908,2023-06-21
601919,2023-06-21
601996,2023-06-21
603006,2023-06-21
603009,2023-06-21
603015,2023-06-21
603028,2023-06-21
603050,2023-06-21
603080,2023-06-21
603105,2023-06-21
603235,2023-06-21
603268,2023-06-21
603318,2023-06-21
603559,2023-06-21
603588,2023-06-21
603689,2023-06-21
603706,2023-06-21
603707,2023-06-21
603806,2023-06-21
603826,2023-06-21
603882,2023-06-21
603963,2023-06-21
603991,2023-06-21
605001,2023-06-21
605056,2023-06-21
605117,2023-06-21
605507,2023-06-21
688005,2023-06-21
688101,2023-06-21
688169,2023-06-21
688182,2023-06-21
688196,2023-06-21
688226,2023-06-21
688518,2023-06-21
688536,2023-06-21
688598,2023-06-21
688680,2023-06-21
689009,2023-06-21
831010,2023-06-21
872392,2023-06-21
